happiness,financial_satisfaction,age,gender,religion
2,8,76,2,2
2,2,69,1,1
3,8,35,2,0
2,8,45,1,2
4,9,32,1,2
2,8,38,1,1
1,9,38,1,0
2,5,34,2,8
2,6,65,1,2
2,9,31,1,2
2,5,27,2,1
1,7,33,1,0
2,9,66,1,0
1,9,50,2,1
2,7,20,2,4
1,8,34,1,0
2,9,74,2,2
2,6,48,2,0
3,8,51,2,0
2,10,36,2,1
2,6,32,1,2
2,8,72,1,0
2,6,25,1,0
2,8,42,1,0
2,7,29,2,0
1,9,30,1,5
2,9,65,1,0
2,8,19,2,0
2,9,66,1,0
2,3,38,1,1
2,4,48,1,3
4,1,40,1,1
2,6,52,2,2
3,4,34,2,2
3,4,43,1,5
3,5,30,1,0
2,3,44,2,0
2,5,27,2,0
2,6,59,2,2
2,8,19,2,6
2,6,29,1,0
2,8,36,1,1
3,3,33,2,0
2,5,40,2,0
2,8,27,2,0
2,8,51,2,2
2,6,24,1,2
1,6,49,1,2
1,9,30,2,6
2,6,39,2,5
2,8,38,1,1
2,9,58,1,9
2,8,33,1,9
2,3,43,1,0
2,6,49,1,1
3,5,39,1,0
2,10,71,1,0
1,10,55,1,1
2,9,30,1,1
2,8,32,2,0
2,7,22,2,1
2,6,51,1,0
2,5,42,2,0
3,8,22,1,0
2,2,67,1,1
2,7,74,1,0
2,10,42,2,0
3,3,31,1,0
2,8,44,1,1
2,5,55,1,1
2,5,68,2,1
2,7,28,1,0
1,7,26,2,0
1,10,29,2,0
3,8,35,2,1
1,10,32,1,0
2,6,45,1,1
1,3,32,1,0
1,9,39,1,1
4,3,24,1,1
2,6,38,1,0
2,8,29,2,0
2,7,66,2,1
2,7,31,2,0
1,6,45,2,1
2,6,25,2,8
2,3,44,1,3
2,8,62,1,8
2,5,45,2,2
2,2,51,2,1
2,3,33,2,0
2,4,53,1,5
2,7,32,1,0
3,2,28,2,4
1,8,38,2,1
2,2,32,2,0
2,6,27,1,0
2,5,47,1,0
3,9,23,2,0
2,6,40,1,5
2,7,33,2,0
2,7,68,2,1
2,8,51,2,2
2,5,30,2,8
2,5,51,1,0
1,9,80,2,2
3,9,50,1,0
1,6,19,1,3
2,7,26,2,2
2,3,53,2,1
2,10,29,1,5
2,4,37,2,9
2,5,33,1,0
2,7,86,2,2
2,4,22,2,0
2,7,50,2,0
1,7,30,1,0
2,4,27,2,0
3,1,45,2,1
2,8,20,2,1
2,7,23,2,1
1,8,27,2,0
2,7,34,2,1
2,7,54,1,7
1,5,42,2,0
3,6,18,1,5
2,4,26,2,0
2,8,65,2,0
2,6,34,2,0
