"","year","religion_importance","happiness","gender","age","religion","financial_satisfaction","living_standard","trust_people","trust_family","trust_foreigners"
"1",2020,1,2,2,76,2,8,1,2,2,2
"2",2020,1,2,1,69,1,2,1,2,1,2
"3",2020,4,3,2,35,0,8,3,2,2,2
"4",2020,2,2,1,45,2,8,1,2,1,3
"5",2020,2,4,1,32,2,9,1,2,2,3
"6",2020,4,2,1,38,1,8,1,1,1,2
"7",2020,4,1,1,38,0,9,3,1,1,2
"8",2020,1,2,2,34,8,5,1,2,1,2
"9",2020,3,2,1,65,2,6,3,2,1,1
"10",2020,2,2,1,31,2,9,3,2,1,2
"11",2020,2,2,2,27,1,5,3,1,1,1
"12",2020,4,1,1,33,0,7,1,1,1,2
"13",2020,4,2,1,66,0,9,3,1,1,2
"14",2020,2,1,2,50,1,9,3,2,1,2
"15",2020,3,2,2,20,4,7,1,1,1,1
"16",2020,1,1,1,34,0,8,1,1,1,2
"17",2020,1,2,2,74,2,9,1,1,1,2
"18",2020,4,2,2,48,0,6,3,2,2,2
"19",2020,4,3,2,51,0,8,1,2,1,2
"20",2020,4,2,2,36,1,10,1,1,1,2
"21",2020,1,2,1,32,2,6,1,2,1,3
"22",2020,4,2,1,72,0,8,1,1,1,2
"23",2020,1,2,1,25,0,6,1,2,2,3
"24",2020,3,2,1,42,0,8,3,2,2,3
"25",2020,3,2,2,29,0,7,2,2,2,2
"26",2020,1,1,1,30,5,9,1,1,1,2
"27",2020,4,2,1,65,0,9,1,1,1,2
"28",2020,3,2,2,19,0,8,1,2,1,2
"29",2020,3,2,1,66,0,9,3,1,1,2
"30",2020,3,2,1,38,1,3,2,2,1,3
"31",2020,2,2,1,48,3,4,1,2,1,2
"32",2020,2,4,1,40,1,1,2,2,1,4
"33",2020,3,2,2,52,2,6,1,2,2,2
"34",2020,2,3,2,34,2,4,2,2,2,2
"35",2020,2,3,1,43,5,4,2,1,2,2
"36",2020,4,3,1,30,0,5,2,2,3,2
"37",2020,3,2,2,44,0,3,2,1,2,2
"38",2020,3,2,2,27,0,5,3,1,1,2
"39",2020,3,2,2,59,2,6,1,2,1,2
"40",2020,2,2,2,19,6,8,1,1,1,2
"41",2020,2,2,1,29,0,6,3,2,2,2
"42",2020,2,2,1,36,1,8,1,1,1,1
"43",2020,4,3,2,33,0,3,1,2,1,2
"44",2020,4,2,2,40,0,5,3,2,2,2
"45",2020,4,2,2,27,0,8,3,1,2,2
"46",2020,3,2,2,51,2,8,1,2,2,2
"47",2020,2,2,1,24,2,6,1,1,2,3
"48",2020,3,1,1,49,2,6,3,1,1,1
"49",2020,2,1,2,30,6,9,1,2,1,1
"50",2020,2,2,2,39,5,6,1,2,1,3
"51",2020,1,2,1,38,1,8,3,1,2,2
"52",2020,2,2,1,58,9,9,3,2,2,2
"53",2020,4,2,1,33,9,8,1,1,1,2
"54",2020,4,2,1,43,0,3,2,1,1,2
"55",2020,4,2,1,49,1,6,2,1,1,2
"56",2020,4,3,1,39,0,5,2,2,2,3
"57",2020,4,2,1,71,0,10,1,1,1,1
"58",2020,1,1,1,55,1,10,1,1,1,2
"59",2020,3,2,1,30,1,9,1,1,1,2
"60",2020,4,2,2,32,0,8,3,1,1,2
"61",2020,3,2,2,22,1,7,3,1,1,1
"62",2020,4,2,1,51,0,6,1,2,2,3
"63",2020,3,2,2,42,0,5,3,1,1,2
"64",2020,3,3,1,22,0,8,1,1,2,2
"65",2020,3,2,1,67,1,2,1,1,1,2
"66",2020,4,2,1,74,0,7,2,2,1,3
"67",2020,4,2,2,42,0,10,1,1,1,1
"68",2020,4,3,1,31,0,3,2,2,2,3
"69",2020,2,2,1,44,1,8,1,2,2,3
"70",2020,2,2,1,55,1,5,1,2,1,2
"71",2020,4,2,2,68,1,5,3,1,2,2
"72",2020,4,2,1,28,0,7,3,1,2,2
"73",2020,4,1,2,26,0,7,1,2,1,2
"74",2020,4,1,2,29,0,10,1,1,1,3
"75",2020,3,3,2,35,1,8,1,1,1,2
"76",2020,4,1,1,32,0,10,3,2,2,2
"77",2020,2,2,1,45,1,6,3,1,1,2
"78",2020,4,1,1,32,0,3,1,2,1,3
"79",2020,4,1,1,39,1,9,1,1,1,2
"80",2020,4,4,1,24,1,3,2,2,2,3
"81",2020,4,2,1,38,0,6,1,1,2,2
"82",2020,4,2,2,29,0,8,3,1,2,2
"83",2020,1,2,2,66,1,7,3,2,2,2
"84",2020,4,2,2,31,0,7,3,2,2,2
"85",2020,1,1,2,45,1,6,1,2,1,3
"86",2020,1,2,2,25,8,6,2,2,1,2
"87",2020,2,2,1,44,3,3,2,1,1,2
"88",2020,2,2,1,62,8,8,1,2,1,3
"89",2020,4,2,2,45,2,5,3,1,1,2
"90",2020,2,2,2,51,1,2,3,2,2,2
"91",2020,3,2,2,33,0,3,3,2,1,2
"92",2020,4,2,1,53,5,4,1,1,1,2
"93",2020,3,2,1,32,0,7,3,1,2,2
"94",2020,1,3,2,28,4,2,2,1,4,2
"95",2020,4,1,2,38,1,8,1,2,1,2
"96",2020,4,2,2,32,0,2,2,2,1,2
"97",2020,4,2,1,27,0,6,1,2,2,3
"98",2020,4,2,1,47,0,5,3,2,1,2
"99",2020,3,3,2,23,0,9,1,1,1,2
"100",2020,2,2,1,40,5,6,3,2,2,2
"101",2020,3,2,2,33,0,7,3,1,1,2
"102",2020,1,2,2,68,1,7,3,1,1,1
"103",2020,3,2,2,51,2,8,1,2,2,2
"104",2020,1,2,2,30,8,5,1,1,1,2
"105",2020,4,2,1,51,0,5,1,2,2,3
"106",2020,1,1,2,80,2,9,1,1,1,2
"107",2020,4,3,1,50,0,9,1,1,1,2
"108",2020,1,1,1,19,3,6,1,1,1,1
"109",2020,2,2,2,26,2,7,1,2,1,2
"110",2020,3,2,2,53,1,3,2,1,1,2
"111",2020,3,2,1,29,5,10,3,2,1,1
"112",2020,2,2,2,37,9,4,3,2,2,3
"113",2020,3,2,1,33,0,5,1,2,2,2
"114",2020,1,2,2,86,2,7,3,1,1,2
"115",2020,4,2,2,22,0,4,2,2,1,1
"116",2020,4,2,2,50,0,7,2,1,2,3
"117",2020,4,1,1,30,0,7,1,1,1,2
"118",2020,3,2,2,27,0,4,2,2,2,4
"119",2020,1,3,2,45,1,1,2,2,1,3
"120",2020,4,2,2,20,1,8,1,1,1,2
"121",2020,2,2,2,23,1,7,1,2,1,2
"122",2020,4,1,2,27,0,8,3,1,1,2
"123",2020,3,2,2,34,1,7,1,2,1,1
"124",2020,3,2,1,54,7,7,1,1,1,2
"125",2020,4,1,2,42,0,5,1,1,2,2
"126",2020,1,3,1,18,5,6,1,2,2,2
"127",2020,4,2,2,26,0,4,3,2,1,2
"128",2020,4,2,2,65,0,8,3,1,1,2
"129",2020,4,2,2,34,0,6,3,2,1,2
"130",2020,4,2,1,31,0,7,2,2,2,2
"131",2020,4,3,1,49,0,3,2,2,1,2
"132",2020,4,2,2,38,0,7,1,2,2,2
"133",2020,2,2,1,21,5,10,1,2,1,3
"134",2020,2,2,2,69,1,9,1,1,1,2
"135",2020,4,2,1,56,0,9,3,2,1,2
"136",2020,3,2,2,37,1,7,1,1,1,2
"137",2020,4,2,2,26,0,8,1,1,2,2
"138",2020,2,2,2,60,9,8,1,2,1,3
"139",2020,4,1,2,48,0,8,1,2,2,2
"140",2020,4,3,1,70,0,1,3,2,2,2
"141",2020,2,1,1,74,1,10,3,2,1,2
"142",2020,4,2,1,64,0,7,3,1,2,2
"143",2020,4,2,1,66,0,8,3,1,1,1
"144",2020,3,2,2,34,0,7,3,1,1,1
"145",2020,4,2,2,61,0,7,2,1,1,2
"146",2020,4,1,1,58,0,9,1,2,1,3
"147",2020,3,2,1,61,2,5,3,1,1,1
"148",2020,4,2,1,34,0,4,2,2,1,2
"149",2020,3,1,1,77,1,9,1,1,1,2
"150",2020,2,2,2,56,2,6,2,2,2,2
"151",2020,2,2,2,43,1,8,1,1,2,2
"152",2020,4,1,1,65,2,8,1,1,1,2
"153",2020,3,1,1,68,1,3,3,2,4,4
"154",2020,2,3,1,44,3,7,1,1,1,2
"155",2020,2,2,2,45,1,7,3,1,1,2
"156",2020,3,2,1,64,2,8,2,1,1,2
"157",2020,3,2,1,32,0,4,1,2,1,3
"158",2020,4,2,2,67,0,8,3,2,1,2
"159",2020,1,2,2,78,2,9,3,1,1,2
"160",2020,3,1,1,32,1,8,2,1,1,2
"161",2020,3,1,1,62,1,8,1,2,2,3
"162",2020,3,2,1,49,1,5,3,2,1,2
"163",2020,3,2,1,37,1,7,1,2,1,2
"164",2020,3,1,1,24,0,7,1,1,1,1
"165",2020,1,2,2,69,2,9,1,1,1,2
"166",2020,3,2,1,66,4,2,3,1,1,1
"167",2020,2,2,2,70,0,3,2,2,2,2
"168",2020,4,2,2,28,0,2,3,2,2,1
"169",2020,3,3,2,69,2,3,1,2,2,2
"170",2020,2,2,1,68,0,8,1,1,1,2
"171",2020,3,1,1,29,1,9,3,1,1,2
"172",2020,2,2,2,63,2,5,2,2,1,2
"173",2020,4,2,1,28,0,5,2,1,1,2
"174",2020,4,1,2,45,0,9,3,1,1,2
"175",2020,2,1,1,67,4,7,1,1,1,2
"176",2020,3,2,1,50,0,6,3,2,1,2
"177",2020,4,2,2,29,0,8,1,2,1,2
"178",2020,2,2,2,59,0,4,2,2,1,1
"179",2020,3,2,2,29,0,7,2,2,2,2
"180",2020,4,3,1,74,0,7,3,1,1,2
"181",2020,1,2,2,38,3,6,2,2,1,4
"182",2020,4,2,2,37,4,5,1,2,1,2
"183",2020,4,2,2,27,0,3,2,2,1,2
"184",2020,4,2,1,55,0,7,1,1,1,2
"185",2020,2,2,1,24,0,5,1,2,1,2
"186",2020,3,2,1,66,4,7,1,1,1,2
"187",2020,3,2,2,68,1,8,1,2,2,2
"188",2020,1,1,1,35,2,9,3,1,1,2
"189",2020,3,1,2,23,1,7,1,2,1,1
"190",2020,3,2,2,18,0,6,1,1,2,2
"191",2020,3,2,2,36,1,8,1,1,1,2
"192",2020,4,1,1,51,4,9,1,1,1,2
"193",2020,3,2,2,32,6,4,1,2,1,2
"194",2020,4,4,1,35,0,7,3,2,2,2
"195",2020,4,2,2,65,0,6,1,1,1,1
"196",2020,1,1,2,68,1,8,1,1,1,2
"197",2020,4,2,2,26,0,6,2,2,1,1
"198",2020,4,2,1,54,0,7,2,2,2,3
"199",2020,3,2,2,56,1,7,2,2,1,1
"200",2020,1,1,2,47,2,6,3,2,1,2
"201",2020,4,2,2,37,1,5,1,1,1,3
"202",2020,4,2,2,29,1,6,1,2,2,2
"203",2020,4,2,2,28,0,7,1,2,1,1
"204",2020,1,2,2,39,1,6,1,2,1,2
"205",2020,4,4,2,34,0,1,2,2,3,4
"206",2020,1,2,2,35,8,7,3,2,2,3
"207",2020,2,1,1,37,1,5,2,2,1,2
"208",2020,1,2,1,37,5,8,1,2,1,1
"209",2020,4,2,2,36,0,9,1,1,1,2
"210",2020,3,2,2,76,0,8,1,1,1,2
"211",2020,3,1,2,38,2,9,1,1,1,1
"212",2020,2,1,2,62,2,10,3,2,1,2
"213",2020,4,1,2,27,0,10,3,1,1,2
"214",2020,4,2,2,50,0,10,1,2,2,2
"215",2020,3,2,2,22,1,7,1,2,1,2
"216",2020,4,1,1,72,0,9,1,1,2,2
"217",2020,3,2,2,67,1,6,1,2,1,2
"218",2020,4,2,1,61,1,6,1,2,2,2
"219",2020,4,1,1,40,0,8,3,1,1,2
"220",2020,4,2,1,31,0,6,3,2,2,2
"221",2020,4,1,1,57,0,8,3,2,2,2
"222",2020,4,2,1,63,1,8,1,2,1,3
"223",2020,3,1,2,52,0,8,3,2,3,2
"224",2020,2,2,1,66,2,7,1,1,1,2
"225",2020,2,1,2,48,1,10,1,2,2,2
"226",2020,4,2,1,57,0,10,1,1,1,3
"227",2020,2,2,1,79,1,8,1,2,1,1
"228",2020,3,2,1,29,2,5,2,2,2,2
"229",2020,4,2,1,33,0,5,2,2,2,2
"230",2020,4,1,2,41,0,6,2,1,1,2
"231",2020,4,1,2,35,0,7,3,1,1,2
"232",2020,1,1,1,48,1,10,1,1,1,4
"233",2020,1,2,1,59,7,3,1,2,2,3
"234",2020,1,1,1,88,2,10,1,1,1,3
"235",2020,1,2,2,52,9,3,2,2,2,2
"236",2020,3,2,2,63,1,9,1,1,1,2
"237",2020,2,3,1,56,4,7,2,1,2,1
"238",2020,3,2,1,30,0,5,1,1,2,3
"239",2020,4,3,1,40,1,3,2,2,1,2
"240",2020,3,2,2,20,1,7,1,2,1,2
"241",2020,3,1,1,62,2,9,3,2,1,2
"242",2020,4,3,2,54,0,1,2,2,1,3
"243",2020,4,2,2,20,0,4,1,2,3,2
"244",2020,3,2,1,35,1,6,3,2,2,2
"245",2020,2,2,2,39,1,7,3,2,2,2
"246",2020,3,2,2,18,0,7,1,1,1,1
"247",2020,1,4,1,43,9,4,2,1,3,2
"248",2020,3,3,1,32,1,7,3,2,2,3
"249",2020,2,1,2,66,2,8,1,1,2,2
"250",2020,3,1,1,84,0,9,1,2,2,2
"251",2020,2,2,1,50,1,6,2,1,1,2
"252",2020,3,1,2,71,0,7,1,2,1,2
"253",2020,3,2,2,81,4,6,3,2,2,2
"254",2020,2,1,1,75,2,10,1,1,1,1
"255",2020,4,3,1,54,0,5,1,1,2,2
"256",2020,3,2,1,63,1,6,2,2,2,2
"257",2020,4,2,2,38,0,6,3,2,1,2
"258",2020,4,1,1,82,0,9,1,2,1,2
"259",2020,4,2,2,26,0,5,3,2,2,2
"260",2020,1,1,1,58,1,6,1,1,1,1
"261",2020,1,3,1,73,2,5,1,2,1,2
"262",2020,3,4,1,44,3,7,2,1,2,4
"263",2020,3,1,1,64,0,9,1,1,2,2
"264",2020,3,3,1,86,0,4,1,1,1,2
"265",2020,4,1,2,66,0,7,3,1,1,2
"266",2020,2,2,1,51,1,6,3,1,2,2
"267",2020,1,2,1,40,2,8,3,1,1,2
"268",2020,1,2,1,31,6,8,2,2,1,3
"269",2020,4,2,1,41,0,7,3,1,1,1
"270",2020,4,3,1,42,0,1,2,2,2,2
"271",2020,3,2,1,35,0,5,1,1,1,2
"272",2020,3,2,2,39,0,7,1,1,1,2
"273",2020,2,2,2,69,1,1,2,2,2,2
"274",2020,4,2,1,60,0,1,1,2,1,2
"275",2020,3,2,2,74,1,8,3,1,1,2
"276",2020,4,2,1,72,0,5,1,2,1,2
"277",2020,1,3,1,43,1,6,2,2,1,3
"278",2020,4,2,1,38,0,6,3,1,1,2
"279",2020,3,2,2,56,0,7,3,1,2,2
"280",2020,2,2,1,34,6,7,1,1,1,2
"281",2020,4,2,2,32,0,10,1,1,1,2
"282",2020,4,2,2,28,0,7,3,2,1,2
"283",2020,4,3,1,49,0,3,1,1,1,2
"284",2020,4,2,1,67,0,7,3,1,2,2
"285",2020,2,2,1,63,0,9,1,2,2,3
"286",2020,2,2,1,35,1,9,1,1,1,2
"287",2020,2,2,2,40,2,7,1,2,1,2
"288",2020,3,2,2,32,0,7,1,1,1,1
"289",2020,4,2,1,37,0,4,3,2,1,2
"290",2020,1,1,2,33,1,7,1,2,1,3
"291",2020,4,2,2,63,0,8,1,1,1,1
"292",2020,4,1,1,58,1,8,1,1,2,2
"293",2020,4,2,1,40,0,6,2,2,2,4
"294",2020,4,2,1,47,0,8,1,1,2,2
"295",2020,4,2,1,67,0,8,1,1,1,2
"296",2020,3,2,1,45,0,6,3,1,1,1
"297",2020,1,2,2,19,5,6,1,2,1,2
"298",2020,4,2,2,45,0,9,1,1,1,2
"299",2020,2,2,2,42,0,8,1,1,1,2
"300",2020,4,2,1,47,0,8,1,1,1,1
"301",2020,4,2,2,21,0,8,1,1,1,2
"302",2020,4,2,2,59,0,1,2,2,1,2
"303",2020,2,1,1,71,1,7,3,2,1,2
"304",2020,4,2,1,36,0,9,3,1,1,3
"305",2020,1,1,2,56,1,10,3,2,1,1
"306",2020,4,1,1,27,0,10,3,2,2,2
"307",2020,3,1,1,43,6,8,3,2,1,2
"308",2020,3,1,2,29,1,9,1,1,1,2
"309",2020,4,2,2,19,0,5,1,1,2,1
"310",2020,1,2,1,34,1,6,1,1,2,2
"311",2020,2,1,1,58,1,8,1,1,1,1
"312",2020,3,2,1,44,0,6,1,1,1,2
"313",2020,2,1,1,68,1,10,1,1,1,2
"314",2020,2,1,1,78,1,8,3,1,1,2
"315",2020,4,1,1,78,0,9,3,1,3,1
"316",2020,3,1,2,67,0,7,3,1,1,1
"317",2020,2,2,1,32,3,8,3,2,1,3
"318",2020,3,2,2,69,1,7,3,2,1,3
"319",2020,3,2,1,39,2,7,1,1,2,1
"320",2020,1,2,1,26,8,3,2,2,2,2
"321",2020,4,3,1,38,0,7,2,1,2,3
"322",2020,4,2,2,34,0,6,2,1,2,2
"323",2020,4,2,1,34,0,7,1,2,1,3
"324",2020,2,2,1,42,3,7,1,2,1,3
"325",2020,2,2,1,43,3,6,1,2,1,2
"326",2020,2,2,1,34,1,10,1,1,1,1
"327",2020,4,1,1,32,1,7,1,1,2,2
"328",2020,4,2,1,75,0,6,2,1,1,2
"329",2020,4,3,1,31,0,6,1,1,1,1
"330",2020,1,2,2,28,1,5,3,2,1,2
"331",2020,3,2,1,28,1,6,3,1,2,2
"332",2020,3,3,2,58,1,5,3,1,2,2
"333",2020,4,2,1,27,0,7,1,1,1,2
"334",2020,4,2,1,59,3,9,1,1,3,2
"335",2020,4,2,1,32,0,5,2,1,2,2
"336",2020,2,2,2,35,1,7,1,1,1,2
"337",2020,2,4,2,32,3,6,1,2,2,3
"338",2020,3,1,2,33,4,4,3,1,1,2
